idx,tag
932499eddc594d6c51a6709c31153e93,TED
932499eddc594d6c51a6709c31153e93,talks
932499eddc594d6c51a6709c31153e93,TED-Ed
932499eddc594d6c51a6709c31153e93,education
932499eddc594d6c51a6709c31153e93,animation
932499eddc594d6c51a6709c31153e93,coronavirus
932499eddc594d6c51a6709c31153e93,testing
932499eddc594d6c51a6709c31153e93,medicine
932499eddc594d6c51a6709c31153e93,medical research
932499eddc594d6c51a6709c31153e93,DNA
932499eddc594d6c51a6709c31153e93,science
932499eddc594d6c51a6709c31153e93,biology
932499eddc594d6c51a6709c31153e93,public health
932499eddc594d6c51a6709c31153e93,health
932499eddc594d6c51a6709c31153e93,healthcare
932499eddc594d6c51a6709c31153e93,illness
932499eddc594d6c51a6709c31153e93,disease
3fa59a8d05f68a0b618a1d4303fffcca,TED
3fa59a8d05f68a0b618a1d4303fffcca,talks
3fa59a8d05f68a0b618a1d4303fffcca,personal growth
3fa59a8d05f68a0b618a1d4303fffcca,life
3fa59a8d05f68a0b618a1d4303fffcca,disability
3fa59a8d05f68a0b618a1d4303fffcca,humanity
3fa59a8d05f68a0b618a1d4303fffcca,sports
3fa59a8d05f68a0b618a1d4303fffcca,identity
3fa59a8d05f68a0b618a1d4303fffcca,self
3fa59a8d05f68a0b618a1d4303fffcca,motivation
30d5ecf6866705740e3c0fed0111a875,TED
30d5ecf6866705740e3c0fed0111a875,talks
30d5ecf6866705740e3c0fed0111a875,poetry
30d5ecf6866705740e3c0fed0111a875,language
30d5ecf6866705740e3c0fed0111a875,humanity
30d5ecf6866705740e3c0fed0111a875,emotions
30d5ecf6866705740e3c0fed0111a875,culture
30d5ecf6866705740e3c0fed0111a875,empathy
97a336dfd1f3d3c36789d8f25a176f7a,TED
97a336dfd1f3d3c36789d8f25a176f7a,talks
97a336dfd1f3d3c36789d8f25a176f7a,coronavirus
97a336dfd1f3d3c36789d8f25a176f7a,animation
97a336dfd1f3d3c36789d8f25a176f7a,TED-Ed
97a336dfd1f3d3c36789d8f25a176f7a,education
97a336dfd1f3d3c36789d8f25a176f7a,illness
97a336dfd1f3d3c36789d8f25a176f7a,disease
97a336dfd1f3d3c36789d8f25a176f7a,public health
97a336dfd1f3d3c36789d8f25a176f7a,health
97a336dfd1f3d3c36789d8f25a176f7a,science
97a336dfd1f3d3c36789d8f25a176f7a,health care
97a336dfd1f3d3c36789d8f25a176f7a,Vaccines
97a336dfd1f3d3c36789d8f25a176f7a,animals
97a336dfd1f3d3c36789d8f25a176f7a,healthcare
97a336dfd1f3d3c36789d8f25a176f7a,biology
f09905bacb7a10744e51754d9ec18b01,TED
f09905bacb7a10744e51754d9ec18b01,talks
f09905bacb7a10744e51754d9ec18b01,immigration
f09905bacb7a10744e51754d9ec18b01,refugees
f09905bacb7a10744e51754d9ec18b01,society
f09905bacb7a10744e51754d9ec18b01,social change
f09905bacb7a10744e51754d9ec18b01,compassion
f09905bacb7a10744e51754d9ec18b01,humanity
f09905bacb7a10744e51754d9ec18b01,human rights
6ac3a87bf2f369ffa8a3e810dfba1dc8,TED
6ac3a87bf2f369ffa8a3e810dfba1dc8,talks
6ac3a87bf2f369ffa8a3e810dfba1dc8,personal growth
6ac3a87bf2f369ffa8a3e810dfba1dc8,life
6ac3a87bf2f369ffa8a3e810dfba1dc8,psychology
6ac3a87bf2f369ffa8a3e810dfba1dc8,family
6ac3a87bf2f369ffa8a3e810dfba1dc8,work-life balance
6ac3a87bf2f369ffa8a3e810dfba1dc8,TEDx
7891a744e81b98ecbb42a699756396da,TED
7891a744e81b98ecbb42a699756396da,talks
7891a744e81b98ecbb42a699756396da,TED-Ed
7891a744e81b98ecbb42a699756396da,education
7891a744e81b98ecbb42a699756396da,animation
7891a744e81b98ecbb42a699756396da,ancient world
7891a744e81b98ecbb42a699756396da,history
7891a744e81b98ecbb42a699756396da,pregnancy
7891a744e81b98ecbb42a699756396da,religion
7891a744e81b98ecbb42a699756396da,war
7891a744e81b98ecbb42a699756396da,culture
7891a744e81b98ecbb42a699756396da,world cultures
7891a744e81b98ecbb42a699756396da,women
015d378d8084b06fc70e163811ec221e,TED
015d378d8084b06fc70e163811ec221e,talks
015d378d8084b06fc70e163811ec221e,justice system
015d378d8084b06fc70e163811ec221e,criminal justice
015d378d8084b06fc70e163811ec221e,inequality
015d378d8084b06fc70e163811ec221e,law
015d378d8084b06fc70e163811ec221e,community
015d378d8084b06fc70e163811ec221e,prison
015d378d8084b06fc70e163811ec221e,Audacious Project
015d378d8084b06fc70e163811ec221e,United States
015d378d8084b06fc70e163811ec221e,social change
015d378d8084b06fc70e163811ec221e,activism
015d378d8084b06fc70e163811ec221e,crime
bea6c626423122f234bcab3fa49030c1,TED
bea6c626423122f234bcab3fa49030c1,talks
bea6c626423122f234bcab3fa49030c1,mental health
bea6c626423122f234bcab3fa49030c1,education
bea6c626423122f234bcab3fa49030c1,policy
bea6c626423122f234bcab3fa49030c1,law
bea6c626423122f234bcab3fa49030c1,student
bea6c626423122f234bcab3fa49030c1,TEDx
bea6c626423122f234bcab3fa49030c1,youth
4384798df5c97a0d407be2b827d7e9f6,TED
4384798df5c97a0d407be2b827d7e9f6,talks
4384798df5c97a0d407be2b827d7e9f6,sex
4384798df5c97a0d407be2b827d7e9f6,society
4384798df5c97a0d407be2b827d7e9f6,relationships
4384798df5c97a0d407be2b827d7e9f6,psychology
4384798df5c97a0d407be2b827d7e9f6,emotions
4384798df5c97a0d407be2b827d7e9f6,TED en Español
4384798df5c97a0d407be2b827d7e9f6,aging
4384798df5c97a0d407be2b827d7e9f6,TEDx
34c67e5e184876077d21feb7fb845e33,TED
34c67e5e184876077d21feb7fb845e33,talks
34c67e5e184876077d21feb7fb845e33,disease
34c67e5e184876077d21feb7fb845e33,virus
34c67e5e184876077d21feb7fb845e33,public health
34c67e5e184876077d21feb7fb845e33,coronavirus
34c67e5e184876077d21feb7fb845e33,medical research
34c67e5e184876077d21feb7fb845e33,technology
34c67e5e184876077d21feb7fb845e33,Audacious Project
34c67e5e184876077d21feb7fb845e33,pandemic
34c67e5e184876077d21feb7fb845e33,science
404d7eab1c09236aea272accb82463a1,TED
404d7eab1c09236aea272accb82463a1,talks
404d7eab1c09236aea272accb82463a1,coronavirus
404d7eab1c09236aea272accb82463a1,china
404d7eab1c09236aea272accb82463a1,virus
404d7eab1c09236aea272accb82463a1,Asia
404d7eab1c09236aea272accb82463a1,culture
404d7eab1c09236aea272accb82463a1,government
404d7eab1c09236aea272accb82463a1,society
404d7eab1c09236aea272accb82463a1,United States
404d7eab1c09236aea272accb82463a1,pandemic
5925ba269cedf494b6cbcfcb29bc6ef2,TED
5925ba269cedf494b6cbcfcb29bc6ef2,talks
5925ba269cedf494b6cbcfcb29bc6ef2,animation
5925ba269cedf494b6cbcfcb29bc6ef2,TED-Ed
5925ba269cedf494b6cbcfcb29bc6ef2,addiction
5925ba269cedf494b6cbcfcb29bc6ef2,education
5925ba269cedf494b6cbcfcb29bc6ef2,health
5925ba269cedf494b6cbcfcb29bc6ef2,public health
