idx,main_speaker,title,details,posted,url,duration,num_views
932499eddc594d6c51a6709c31153e93,Cella Wright,How do virus tests actually work?,"A new virus emerges and spreads like wildfire. In order to contain it, researchers must first collect data about who's been infected. Two main viral testing techniques are critical: one tells you if you have the virus and the other shows if you've already had it. So, how exactly do these tests work? Cella Wright explores the science of PCR tests and immunoassays. [Directed by Hype CG, narrated by Bethany Cutmore-Scott, music by Gabriel Maia].",Posted May 2020,https://www.ted.com/talks/cella_wright_how_do_virus_tests_actually_work,284,0
3fa59a8d05f68a0b618a1d4303fffcca,Dean Furness,"To overcome challenges, stop comparing yourself to others","When you stop comparing yourself to others, you can accomplish great things, says wheelchair athlete Dean Furness. He shares how, after losing the use of his legs in an accident, he discovered a powerful new mindset focused on redefining his ""personal average"" and getting better little by little.",Posted May 2020,https://www.ted.com/talks/dean_furness_to_overcome_challenges_stop_comparing_yourself_to_others,734,"385,839"
30d5ecf6866705740e3c0fed0111a875,Poet Ali,The language of being human,"You speak far more languages than you realize, says Poet Ali. In a profound talk, he reveals how the idea of ""language"" goes far beyond a lexicon of words, communicating universal experiences like love, laughter and loneliness -- and serving as a portal to cultures, feelings and thoughts that unite us all.",Posted May 2020,https://www.ted.com/talks/poet_ali_the_language_of_being_human,895,"148,130"
97a336dfd1f3d3c36789d8f25a176f7a,Elizabeth Cox,What is a coronavirus?,"For almost a decade, scientists chased the source of a deadly new virus through China's tallest mountains and most isolated caverns. They finally found it in the bats of Shitou Cave. The virus in question was a coronavirus that caused an epidemic of severe acute respiratory syndrome, or SARS, in 2003. So what exactly is a coronavirus, and how does it spread? Elizabeth Cox explains. [Directed by Anton Bogaty, narrated by Bethany Cutmore-Scott, music by Jarrett Farkas].",Posted May 2020,https://www.ted.com/talks/elizabeth_cox_what_is_a_coronavirus,295,"250,660"
f09905bacb7a10744e51754d9ec18b01,Norma Pimentel,Restoring human dignity at the US southern border,"After seeing the conditions in which children were held at a detention center on the US-Mexico border, Sister Norma Pimentel established a humanitarian respite center in Texas where people can get clean clothing, a warm shower and a hot meal. In this powerful talk, Sister Pimentel discusses her lifelong work restoring human dignity at the border -- and calls on us all to put aside prejudice and lead with compassion.",Posted May 2020,https://www.ted.com/talks/norma_pimentel_restoring_human_dignity_at_the_us_southern_border,747,"501,512"
6ac3a87bf2f369ffa8a3e810dfba1dc8,Darria Long,"An ER doctor on triaging your ""crazy busy"" life","How do doctors in the emergency room stay calm and focused amidst the chaos? Drawing on years of experience, ER doctor Darria Long shares a straightforward framework to help you take back control and feel less overwhelmed when life starts to get ""crazy busy.""",Posted May 2020,https://www.ted.com/talks/darria_long_an_er_doctor_on_triaging_your_crazy_busy_life,703,"611,757"
7891a744e81b98ecbb42a699756396da,Kay Read,A day in the life of an Aztec midwife,"The midwife Xoquauhtli has a difficult choice to make. She owes a debt to her patron Teteoinnan, the female warrior goddess at the center of the Aztec seasonal festival, who must be kept happy or she will bring bad luck. Xoquauhtli should participate in the festival today, but one of her patients could go into labor any minute. Kay Read outlines a day in the life of an Aztec midwife. [Directed by AIM Creative Studios, narrated by Bethany Cutmore-Scott, music by André Aires].",Posted May 2020,https://www.ted.com/talks/kay_read_a_day_in_the_life_of_an_aztec_midwife,253,"313,991"
015d378d8084b06fc70e163811ec221e,Robin Steinberg and Manoush Zomorodi,The US is addicted to incarceration. Here's how to break the cycle,"Nearly half a million people in the US are in jail right now without being convicted of a crime, simply because they can't come up with the money to pay cash bail. To try and fix this system, public defender and activist Robin Steinberg asked a straightforward question: What if we paid bail for them? In conversation with TED Radio Hour host Manoush Zomorodi, Steinberg shares how her nonprofit The Bail Project -- which uses a revolving fund to post bail for those who can't afford it -- is scaling up their efforts across the country and rolling out a new community-based model to fight mass incarceration. (This ambitious plan is part of the Audacious Project, TED's initiative to inspire and fund global change.)",Posted May 2020,https://www.ted.com/talks/robin_steinberg_and_manoush_zomorodi_the_us_is_addicted_to_incarceration_here_s_how_to_break_the_cycle,1058,"547,079"
bea6c626423122f234bcab3fa49030c1,Hailey Hardcastle,The case for student mental health days,"School can be rife with stress, anxiety, panic attacks and even burnout — but there's often no formal policy for students who need to prioritize their well-being. Hailey Hardcastle explains why schools should offer mental health days and allow students time to practice emotional hygiene without stigma. Follow along to learn how she and a team of fellow teens transformed their advocacy into law.",Posted May 2020,https://www.ted.com/talks/hailey_hardcastle_the_case_for_student_mental_health_days,444,"632,213"
4384798df5c97a0d407be2b827d7e9f6,Ricardo Iacub,Erotismo en la vejez,"En su charla en TEDxCórdoba, Ricardo Iacub nos muestra cómo el erotismo nos puede acompañar en todas las etapas de la vida.",Posted May 2020,https://www.ted.com/talks/ricardo_iacub_erotismo_en_la_vejez,871,"470,567"
34c67e5e184876077d21feb7fb845e33,Pardis Sabeti and Christian Happi,A virus detection network to stop the next pandemic,"How can we stop the next pandemic before it starts? Disease researchers Pardis Sabeti and Christian Happi introduce Sentinel, an early warning system that detects and tracks viral threats in real time -- and could help stop them before they spread. Learn more about the cutting-edge technology that powers the system and how the Sentinel team is helping scientists and health workers during the coronavirus pandemic. (This ambitious plan is part of the Audacious Project, TED's initiative to inspire and fund global change.)",Posted May 2020,https://www.ted.com/talks/pardis_sabeti_and_christian_happi_a_virus_detection_network_to_stop_the_next_pandemic,354,"531,611"
404d7eab1c09236aea272accb82463a1,Huang Hung,How American and Chinese values shaped the coronavirus response,"To combat COVID-19, countries have enforced city-wide shutdowns, stay-at-home orders and mask mandates -- but the reaction (and adherence) to these rules has differed markedly in the East and West. In conversation with TED's head of curation Helen Walters, writer and publisher Huang Hung sheds light on how Chinese and American cultural values shaped their responses to the outbreak -- and provides perspective on why everyone needs to come together to end the pandemic. (Recorded April 16, 2020)",Posted May 2020,https://www.ted.com/talks/huang_hung_how_american_and_chinese_values_shaped_the_coronavirus_response,704,"785,849"
5925ba269cedf494b6cbcfcb29bc6ef2,Mike Davis,"What causes opioid addiction, and why is it so tough to combat?","In the 1980s and 90s, pharmaceutical companies began to market opioid painkillers aggressively, while actively downplaying their addictive potential. The number of prescriptions skyrocketed, and so did cases of addiction, beginning a crisis that continues today. What makes opioids so addictive? Mike Davis explains what we can do to reverse the skyrocketing rates of addiction and overdose. [Directed by Good Bad Habits, narrated by Addison Anderson, music by Landon Trimble/ Playdate].",Posted May 2020,https://www.ted.com/talks/mike_davis_what_causes_opioid_addiction_and_why_is_it_so_tough_to_combat,499,"438,514"
6419f8036f4387cbd0bc3be095792534,Kade Crockford,What you need to know about face surveillance,"Privacy isn't dead, but face surveillance technology might kill it, says civil rights advocate Kade Crockford. In an eye-opening talk, Kade outlines the startling reasons why this invasive technology -- powered by often-flawed facial recognition databases that track people without their knowledge -- poses unprecedented threats to your fundamental rights. Learn what can be done to ban government use before it's too late.",Posted May 2020,https://www.ted.com/talks/kade_crockford_what_you_need_to_know_about_face_surveillance,769,"644,857"
9035928f8c8a0707b1e6e2ce965cdd15,Rob Cooke,The cost of work stress — and how to reduce it,"By some estimates, work-related stress drains the US economy of nearly 300 billion dollars a year -- and it can hurt your productivity and personal health too, says wellness advocate Rob Cooke. He shares some strategies to help put your mental, physical and emotional well-being back at the forefront.",Posted May 2020,https://www.ted.com/talks/rob_cooke_the_cost_of_work_stress_and_how_to_reduce_it,638,"741,456"
14703c6bf73f252b7afe6fb8ded3f204,Alex Rosenthal and Pall Thordarson,Which is better: Soap or hand sanitizer?,"Your hands, up close, are anything but smooth. With peaks and valleys, folds and rifts, there are plenty of hiding places for a virus to stick. If you then touch your face, the virus can infect you. But there are two extraordinarily simple ways you can keep that from happening: soap and water, and hand sanitizer. So which is better? Alex Rosenthal and Pall Thordarson investigate. [Directed by Artrake Studio, narrated by Addison Anderson].",Posted May 2020,https://www.ted.com/talks/alex_rosenthal_and_pall_thordarson_which_is_better_soap_or_hand_sanitizer,336,"661,005"
54efb69a21c9a623ab84cb7ecda851f2,Laurel Braitman,The mental health benefits of storytelling for health care workers,"Health care workers are under more stress than ever before. How can they protect their mental health while handling new and complex pressures? TED Fellow Laurel Braitman shows how writing and sharing personal stories helps physicians, nurses, medical students and other health professionals connect more meaningfully with themselves and others -- and make their emotional well-being a priority.",Posted May 2020,https://www.ted.com/talks/laurel_braitman_the_mental_health_benefits_of_storytelling_for_health_care_workers,584,"426,316"
3c71bc402deca72be5c0d50f7bb212bb,Jim Collins,How we're using AI to discover new antibiotics,"Before the coronavirus pandemic, bioengineer Jim Collins and his team combined the power of AI with synthetic biology in an effort to combat a different looming crisis: antibiotic-resistant superbugs. Collins explains how they pivoted their efforts to begin developing a series of tools and antiviral compounds to help fight COVID-19 -- and shares their plan to discover seven new classes of antibiotics over the next seven years. (This ambitious plan is a part of The Audacious Project, TED's initiative to inspire and fund global change.)",Posted May 2020,https://www.ted.com/talks/jim_collins_how_we_re_using_ai_to_discover_new_antibiotics,435,"612,935"
3b65f170fbf2fc4524c61cd9d513010c,Brian A. Pavlac,What really happened during the Salem Witch Trials,"You've been accused of a crime you did not commit. It's impossible to prove your innocence. If you insist that you're innocent anyway, you'll likely be found guilty and executed. But if you confess, apologize, and implicate others, you'll go free. This was the choice facing those accused of witchcraft in Salem, Massachusetts in the 17th century. How did this happen? Brian A. Pavlac investigates. [Directed by Lucy Animation Studio, narrated by Susan Zimmerman, music by Stephen LaRosa].",Posted May 2020,https://www.ted.com/talks/brian_a_pavlac_what_really_happened_during_the_salem_witch_trials,310,"1,103,576"
c312a3262f5dfbea386781bf909f0da3,Skylar Tibbits,"A new way to ""grow"" islands and coastlines","What if we could harness the ocean's movement to protect coastal communities from rising sea levels? Designer and TED Fellow Skylar Tibbits shows how his lab is creating a dynamic, adaptable system of underwater structures that uses energy from ocean waves to accumulate sand and restore eroding shorelines -- working with the forces of nature to build rather than destroy. ",Posted May 2020,https://www.ted.com/talks/skylar_tibbits_a_new_way_to_grow_islands_and_coastlines,447,"84,836"
929cca5453266738c36d0dbf060c7720,Cella Wright,This sea creature breathes through its butt,"Is it a fuzzy sock? An overripe banana? A moldy tube of toothpaste? In fact, it's a humble sea cucumber: a brainless, fleshy form surrounding a digestive tract, and bookended by a mouth and an anus. And while it might look odd, its daily toil paves the way for entire ecosystems to thrive. Cella Wright journeys to the bottom of the ocean to explore the lives of these sausage-shaped wonders. [Directed by Guto BR, Flávia Godoy and Lívia Serri Francoio, narrated by Bethany Cutmore-Scott, music by Jarrett Farkas].",Posted Apr 2020,https://www.ted.com/talks/cella_wright_this_sea_creature_breathes_through_its_butt,281,"305,379"
9b1d4ff114e93f6a4176f69191b0c9e1,Daina Ramey Berry,The electrifying speeches of Sojourner Truth,"Isabella Baumfree was born into slavery in late 18th century New York. Fleeing bondage with her youngest daughter, she renamed herself Sojourner Truth and embarked on a legendary speaking tour. She became known as an electrifying orator and her speeches impacted thousands of people in communities across the United States. Daina Ramey Berry details the life of the outspoken activist. [Directed by WOW-HOW Studio, narrated by Christina Greer, music by Stephen LaRosa].",Posted Apr 2020,https://www.ted.com/talks/daina_ramey_berry_the_electrifying_speeches_of_sojourner_truth,257,"129,232"
50c437eca1cd424f161b0db7e61dd648,Dick M. Carpenter II,"The injustice of ""policing for profit"" — and how to end it","Many countries have an active, centuries-old law that allows government agencies to take your things -- your house, your car, your business -- without ever convicting you of a crime. Law researcher Dick M. Carpenter II exposes how this practice of civil forfeiture threatens your rights and creates a huge monetary incentive for law enforcement to pocket your possessions -- and he lays out a path to end ""policing for profit"" once and for all.",Posted Apr 2020,https://www.ted.com/talks/dick_m_carpenter_ii_the_injustice_of_policing_for_profit_and_how_to_end_it,774,"710,776"
a55757d2f3801e818684a8ca53a73acc,Stefan C. Dombrowski,The dark history of IQ tests,"In 1905, psychologists Alfred Binet and Théodore Simon designed a test for children who were struggling in school in France. Designed to determine which children required individualized attention, their method formed the basis of the modern IQ test. So how do IQ tests work, and are they a true reflection of intelligence? Stefan C. Dombrowski explores how the tests have been used throughout history. [Directed by Kozmonot Animation Studios, narrated by Addison Anderson, music by Deniz Doǧançay].",Posted Apr 2020,https://www.ted.com/talks/stefan_c_dombrowski_the_dark_history_of_iq_tests,346,"598,205"
272b5cfbc0792fc2efe12f9840442d53,Nancy Lublin,"Crisis support for the world, one text away","What if we could help people in crisis anytime, anywhere with a simple text message? That's the idea behind Crisis Text Line, a free 24-hour service that connects people in need with trained, volunteer crisis counselors -- ""strangers helping strangers around the world, like a giant global love machine,"" as cofounder and CEO Nancy Lublin puts it. Learn more about their big plans to expand to four new languages, providing a third of the globe with crucial, life-saving support. (This ambitious plan is a part of the Audacious Project, TED's initiative to inspire and fund global change.)",Posted Apr 2020,https://www.ted.com/talks/nancy_lublin_crisis_support_for_the_world_one_text_away,690,"714,027"
c4d0cc7a1ce328dc606afcf6f10e4639,Larry Brilliant,A global pandemic calls for global solutions,"Examining the facts and figures of the coronavirus outbreak, epidemiologist Larry Brilliant evaluates the global response in a candid interview with head of TED Chris Anderson. Brilliant lays out a clear plan to end the pandemic -- and shows why, to achieve it, we'll have to work together across political and geographical divides. ""This is not the zombie apocalypse; this is not a mass extinction event,"" he says. ""We need to be the best version of ourselves."" (Recorded April 22, 2020)",Posted Apr 2020,https://www.ted.com/talks/larry_brilliant_a_global_pandemic_calls_for_global_solutions,941,"1,032,214"
50e5347050630f624510f413e57cdad7,Stefan Al,What happens if you cut down all of a city's trees?,"By 2050, it's estimated that over 65% of the world will be living in cities. We may think of nature as being unconnected to our urban spaces, but trees have always been an essential part of successful cities. Humanity has been uncovering these arboreal benefits since the creation of our first cities thousands of years ago. So what makes trees so important to a city's survival? Stefan Al explains. [Directed by Mette Ilene Holmriis, narrated by Addison Anderson, music by Bamm Bamm Wolfgang].",Posted Apr 2020,https://www.ted.com/talks/stefan_al_what_happens_if_you_cut_down_all_of_a_city_s_trees,305,"476,696"
86d21cefc91ef3de935a8f8ba1a8699f,Artūrs Miksons,The benefits of expressing your emotions (constructively),"Every culture assigns stigma or value to different styles and levels of emotional expression, creating an instinct to repress or reject feelings associated with discomfort. Psychotherapist Artūrs Miksons lays out the benefits of discarding unhelpful social stigma and explains why expressing our emotions constructively can help build resilience to endure trying times.",Posted Apr 2020,https://www.ted.com/talks/arturs_miksons_the_benefits_of_expressing_your_emotions_constructively,932,"137,884"
1975c0b1cabec53ab0f1f324f309ddea,Angel Chang,The wildly complex anatomy of a sneaker,"Australians call them ""runners."" The British know them as ""trainers."" Americans refer to them as ""sneakers."" Whatever you call them, these casual shoes are worn by billions of people around the world. Today, roughly 23 billion shoes are produced each year. So, how can we balance our love of sneakers with the need for sustainability? Angel Chang explores how shoe manufacturing impacts our planet. [Directed and animated by Ella Dobson, narrated by Addison Anderson, music by Stephen LaRosa].",Posted Apr 2020,https://www.ted.com/talks/angel_chang_the_wildly_complex_anatomy_of_a_sneaker,303,"304,491"
9e48be4cce9a835897cdcbdeec4f24c9,Tom Rivett-Carnac,How to shift your mindset and choose your future,"When it comes to big life problems, we often stand at a crossroads: either believe we're powerless against great change, or we rise to meet the challenge. In an urgent call to action, political strategist Tom Rivett-Carnac makes the case for adopting a mindset of ""stubborn optimism"" to confront climate change -- or whatever crisis may come our way -- and sustain the action needed to build a regenerative future. As he puts it: ""Stubborn optimism can fill our lives with meaning and purpose.""",Posted Apr 2020,https://www.ted.com/talks/tom_rivett_carnac_how_to_shift_your_mindset_and_choose_your_future,954,"1,120,842"
cddbd712560e3b3623039c32386170db,Oliver Jeffers,An ode to living on Earth,"If you had to explain to a newborn what it means to be a human being living on Earth in the 21st century, what would you say? Visual artist Oliver Jeffers put his answer in a letter to his son, sharing pearls of wisdom on existence and the diversity of life. He offers observations of the ""beautiful, fragile drama of human civilization"" in this poetic talk paired with his original illustrations and animations.",Posted Apr 2020,https://www.ted.com/talks/oliver_jeffers_an_ode_to_living_on_earth,646,"889,920"
fd61b17c98dbe257902e1994f3e3bb2b,Elizabeth Camarillo Gutierrez,What's missing from the American immigrant narrative,"Recounting her story of finding opportunity and stability in the US, Elizabeth Camarillo Gutierrez examines the flaws in narratives that simplify and idealize the immigrant experience -- and shares hard-earned wisdom on the best way to help those around us. ""Our world is one that flourishes when different voices come together,"" she says.",Posted Apr 2020,https://www.ted.com/talks/elizabeth_camarillo_gutierrez_what_s_missing_from_the_american_immigrant_narrative,653,"801,835"
952cbaae3c7d0b23d019bb37303ea690,Lara Durgavich,An evolutionary perspective on human health and disease,"How does your genetic inheritance, culture and history influence your health? Biological anthropologist Lara Durgavich discusses the field of evolutionary medicine as a gateway to understanding the quirks of human biology -- including why a genetic mutation can sometimes have beneficial effects -- and emphasizes how unraveling your own evolutionary past could glean insights into your current and future health.",Posted Apr 2020,https://www.ted.com/talks/lara_durgavich_an_evolutionary_perspective_on_human_health_and_disease,927,"758,522"
7357a5c11fb0ef1bf320301d8c4aa346,Ming Luke,What's the point(e) of ballet?,"A baby cursed at birth. A fierce battle of good and evil. A true love awoken with a kiss. Since premiering in 1890, ""The Sleeping Beauty"" has become one of the most frequently staged ballets in history. So what makes this piece so beloved? And what exactly does ballet bring to this— or any other— story? Ming Luke shares what makes ballet the perfect medium for stories old and new. [Directed by Visorama, narrated by Addison Anderson, music by Jarrett Farkas].",Posted Apr 2020,https://www.ted.com/talks/ming_luke_what_s_the_point_e_of_ballet,279,"238,724"
61db947103a4489a4ef3718f0acf6c92,Jacob Collier,"Spectacular, glorious, musical wizardry","From his home in London, Jacob Collier showcases his virtuosic vocal, piano and guitar skills in an enrapturing five-song set. Stick around to hear him premiere a new original track, ""The Sun Is in Your Eyes,"" and sing a gorgeous rendition of ""Danny Boy.""",Posted Apr 2020,https://www.ted.com/talks/jacob_collier_spectacular_glorious_musical_wizardry,2247,"239,362"
8ca202128bbfd49ebfd335f2766aaace,Ebony Roberts and Shaka Senghor,"How to co-parent as allies, not adversaries","When Shaka Senghor and Ebony Roberts ended their relationship, they made a pact to protect their son from its fallout. What resulted was a poetic meditation on what it means to raise a child together, yet apart. In this moving and deeply personal talk, Senghor and Roberts share their approach to co-parenting -- an equal, active partnership that rolls with the punches and revels in the delights of guiding their child through the world with thought and intention.",Posted Apr 2020,https://www.ted.com/talks/ebony_roberts_and_shaka_senghor_how_to_co_parent_as_allies_not_adversaries,847,"901,724"
7d5a0fb479da2601f7e8a47a2e0fc30e,Alex Rosenthal,"The Gauntlet | Think Like A Coder, Ep 8","This is episode 8 of our animated series ""Think Like A Coder."" This 10-episode narrative follows a girl, Ethic, and her robot companion, Hedge, as they attempt to save the world. The two embark on a quest to collect three artifacts and must solve their way through a series of programming puzzles. [Directed by Kozmonot Animation Studio, narrated by Addison Anderson].",Posted Apr 2020,https://www.ted.com/talks/alex_rosenthal_the_gauntlet_think_like_a_coder_ep_8,481,"207,865"
